"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pou2af1",6.67541528735047e-08,-2.58156289316903,0.191,0.307,0.0016774651075583
"Psma6",6.82135136161838e-08,-1.20591085954239,0.138,0.242,0.00171413738366108
"Cfl1",6.85682601390467e-08,0.802874806588591,0.977,0.924,0.0017230518090341
"Itm2b",6.91579553822095e-08,1.69553220101711,0.976,0.948,0.00173787026079954
"Heatr6",7.08012197067979e-08,-0.648704856028633,0.058,0.128,0.00177916385001213
"Gpd1l",7.19572596104154e-08,-1.24000491513506,0.061,0.132,0.00180821397675013
"Smg6",7.32426755519601e-08,1.69570784163072,0.128,0.229,0.0018405151939452
"Timm13",7.44249359922042e-08,-0.771624960881767,0.217,0.348,0.0018702242165481
"Dmxl1",7.6644491692429e-08,0.791536086208366,0.243,0.363,0.00192599943173905
"Kansl1l",7.69690498450084e-08,-1.29387702238457,0.042,0.101,0.00193415525355521
"Herpud1",7.97380084176363e-08,-1.57990798572352,0.145,0.251,0.00200373641352678
"Mtss1",8.08452372128424e-08,-0.516558725027819,0.148,0.256,0.00203155996592152
"Tex261",8.53868408627274e-08,-1.10558213572376,0.077,0.155,0.00214568592403948
"Ube2a",8.88409293203244e-08,-2.87534030967223,0.099,0.186,0.00223248371289043
"Wdr83os",9.30477432431697e-08,-1.49810147338769,0.132,0.231,0.00233819673995761
"Psma2",9.44018506009758e-08,-0.656459924957906,0.477,0.635,0.00237222410375192
"Fibp",9.9446481648615e-08,-0.881370560928706,0.054,0.121,0.00249899063734805
"Cd52",1.04848765884912e-07,47.5724170867424,0.951,0.91,0.00263474463792195
"Sod1",1.11686896770729e-07,0.845352264543467,0.212,0.35,0.00280658002895166
"Gmfg",1.24163728107811e-07,-10.4290123111594,0.339,0.444,0.00312011032362118
"Mdp1",1.35569618744236e-07,-1.08726283666913,0.075,0.15,0.00340672894942392
"Thoc2",1.35571668861664e-07,0.661635255327762,0.177,0.28,0.00340678046682476
"Mrps21",1.36725252072783e-07,-0.560800325383936,0.185,0.296,0.00343576885933696
"Fam114a2",1.45898033652731e-07,-0.91684690225812,0.058,0.126,0.00366627168765948
"Atrx",1.46182449887021e-07,1.02586736258625,0.608,0.729,0.00367341878321095
"Hmgn3",1.47837452552648e-07,-1.11832736642328,0.281,0.399,0.00371500734519549
"Lamtor5",1.6478354402283e-07,-0.763821184224778,0.122,0.22,0.00414084567774969
"Zfp830",1.67898584612486e-07,-0.956562402999961,0.078,0.157,0.00421912353272715
"H2-K1",1.698891310423e-07,-8.32971574581956,0.912,0.939,0.00426914397396196
"Eef1a1",1.70925991995052e-07,24.051507145379,1,1,0.00429519925284366
"Aff3",1.72391392682502e-07,-0.850234067274778,0.136,0.233,0.00433202330671858
"Sdhaf4",1.74681179895787e-07,0.726803601548316,0.057,0.123,0.00438956336960123
"mt-Co3",1.84537863577707e-07,-1.47917357634032,1,1,0.00463725197384421
"Atp6v1e1",1.89443052844038e-07,1.41273066474733,0.222,0.363,0.00476051447491783
"Ciita",1.91073607405911e-07,1.22567343157787,0.282,0.175,0.00480148868050315
"Acbd3",2.02466403317132e-07,-0.529445134196089,0.121,0.215,0.00508777824895621
"Ankfy1",2.07810984535138e-07,-1.98096705243598,0.064,0.135,0.00522208223038349
"Exoc4",2.11687018817435e-07,0.933866727833952,0.045,0.105,0.00531948309586334
"Parp9",2.1488271729902e-07,-1.43707319264391,0.046,0.105,0.00539978780300706
"Lsm14a",2.15202689031473e-07,-0.906372244470058,0.12,0.211,0.0054078283726719
"Vcpip1",2.19739936346503e-07,-1.22978587196462,0.061,0.13,0.00552184486045127
"Coq7",2.24219803339298e-07,8.74496005696042,0.061,0.128,0.00563441943811322
"Pnpla8",2.35262465058107e-07,-1.25467985540373,0.106,0.191,0.00591191048444516
"Hsbp1",2.76692723811105e-07,-1.05944466747722,0.151,0.256,0.00695301145664925
"Apobec3",2.94833677596817e-07,-0.606490148784251,0.286,0.397,0.00740887548433041
"Heca",2.96853094102843e-07,-1.01087389624151,0.061,0.128,0.00745962140171033
"Hist1h1c",3.02436395363764e-07,-8.56696630464135,0.147,0.244,0.00759992417909602
"Top2b",3.08447012945995e-07,6.92221954904505,0.237,0.361,0.00775096498831992
"Adh5",3.15636111836915e-07,-0.549974048472991,0.093,0.173,0.00793161985434985
"Wwp2",3.31934280874602e-07,-0.585414698917219,0.058,0.123,0.00834117654409786
